,org_sent,processed_sent
350,Very cool location.,cool location .
351,I love the Tapas and Sangria place that is close and the Gelato place across the street.,love tapas sangria place close gelato place across street .
352,"Bed i had two queens bed service took a long time FRANCINE tried to get me a better room overall, quite satisfactory.",bed two queen bed service take long time francine try get well room overall quite satisfactory .
353,This hotel is horrible.,hotel horrible .
354,The staff is poorly trained and the rooms are not newly renovated like it was advertised.,staff poorly train room newly renovate like advertise .
355,The pillows were dirty and the bath tub had horrible rust around it.,pillow dirty bath tub horrible rust around .
356,Room was also very dusty.,room also dusty .
357,I ended up leaving a day early and finding another hotel because this one was so bad.,end leave day early find another hotel one bad .
358,Wouldn’t recommend anybody go there not even for the cheap price it’s still not worth it.,recommend anybody go even cheap price still worth .
359,The room was clean and comfortable.,room clean comfortable .
360,The location was great because it was a lot quieter on the upper west side.,location great lot quieter upper west side .
361,I requested a King bed but received a full.,request king bed receive full .
362,My husband and I were very uncomfortable.,husband uncomfortable .
363,We had to ask to change rooms because the first room had no wifi.,ask change room first room wifi .
364,The new room was bigger and on a higher floor.,new room big high floor .
365,...Room was tighter & smaller than expected ..,room tight small expect
366,They were friendly & accomadating.,friendly accomadating .
367,It was a place to stay for a night....it was clean....old building but happy it was clean.,place stay night clean old building happy clean .
368,LOCATION You can get around New York on and off the Train(subway),location get around new york
369,Convenient to subway.,convenient subway .
370,Room was clean and comfortable.,room clean comfortable .
371,It's close to the west side highway.,close west side highway .
372,"Location, comfortable and clean room, good furniture , service .",location comfortable clean room good furniture service
373,"Actually no stars, but this format requires at least one.",actually star format require least one .
374,I intend to request a refund from Groupon.,intend request refund groupon .
375,Groupon should not carry this hotel period.,groupon carry hotel period .
376,"During our stay we were woken up at 4 am by domestic violence in the next room, we had to call the police.",stay wake domestic violence next room call police .
377,This was not an isolated incident.,isolated incident .
378,When approached about safety issues management was rude.,approach safety issue management rude .
379,I’m not usually one to complain but this was the worst hotel experience I’ve ever had.,usually one complain bad hotel experience ever .
380,The pictures show it all.,picture show .
381,The pictures are from the hotel’s website and my personal pictures of my stay.,picture website personal picture stay .
382,"It was so outdated, the shower curtain wouldn’t even close, and it was just dirty.",outdate shower curtain even close dirty .
383,The room was horrible.,room horrible .
384,It looked like a hotel room from a third-world country.,look like hotel room thirdworld country .
385,The TV was directly by the room entry.,tv directly room entry .
386,"The window was open and it was stuck open, and consequently wasn't operating correctly.",window open stick open consequently operate correctly .
387,"When I tried to make coffee and was looking for a napkin, I opened the wall cabinet door, and the door hit the fixture light in the ceiling and broke the glass.",try make coffee look napkin open wall cabinet door door hit fixture light ceiling break glass .
388,I want a refund for my money.,want refund money .
389,I left there bleeding.,leave bleed .
390,"I was lucky I was fully dressed, or I would've had much more injury.",lucky fully dressed would much injury .
391,There is clearly no concern for safety here.,clearly concern safety .
392,"The housekeeping manager was very nice, after 20 minutes she came to clean the blood and gave me a bandaid.",housekeeping manager nice minute come clean blood give bandaid .
393,I want a refund.,want refund .
394,I missed 2 days of work due to the finger injury.,miss day work due finger injury .
395,This issue with the fixtures and cabinets are in every room.,issue fixture cabinet every room .
396,"It is not renovated, and the rooms are nothing like the pictures.",renovate room nothing like picture .
397,"Our room had loose floorboards and gaps underneath the carpet, water from the previous guest or from house keeping was in the bathtub, it was a small room with peeling wallpaper.",room loose floorboard gap underneath carpet water previous guest house keeping bathtub small room peeling wallpaper .
398,Disgusting hotel most of the day staff is rude and the housekeeping is incompetent.,disgusting hotel day staff rude housekeeping incompetent .
399,"Carpet was nasty dirty, hallways dark and scary, bathroom was dirty as well as the room carpet, will never go back nor recommended to anyone!",carpet nasty dirty hallway dark scary bathroom dirty well room carpet never go back recommend
400,This is a low budget hotel that is used for prostitution and homeless people.,low budget hotel use prostitution homeless people .
401,old bed and customer service could be better,old bed customer service could well
402,Worst hotel experience ever.,bad hotel experience ever .
403,We were completely fooled.,completely fool .
404,"I wanted to leave the instant we got in the room, but since it was pouring my husband insisted we just suck it up for one night.",want leave instant get room since pour husband insist suck one night .
405,Save yourself the time and find another hotel to stay at.,save time find another hotel stay .
406,"This groupon was a complete bait and switch, claiming that it was ""a newly renovated hotel,"" (yup...one or two top floors that the hotel management doesn't give you for the groupon).",groupon complete bait switch claim newly renovate hotel yup one two top floor hotel management give
407,"Our room (807) had rust in the bathtub, enough stains on the carpet for them to be the carpet pattern, wall paper peeling from the walls, phones that didn't work, an electrical outlet HANGING OUT OF THE WALL with wires exposed, an old tube tv even though the groupon claimed that there were ""flat screen tvs..."" and the list goes on.",room rust bathtub enough stain carpet carpet pattern wall paper peeling wall phone work electrical outlet hang wall wire expose old tube tv even though groupon claim flat screen tvs list go .
408,"BEWARE...The first room was not a part of the hotel; it was located on the 5th floor, the hallway was smelly and the ‘non smokers’ room smelled like marijuana.",beware first room part hotel locate floor hallway smelly room smell like marijuana .
409,"The room wallpaper was ripping off the wall, there was no TV.",room wallpaper rip wall tv .
410,After complaining I was later placed in a much nicer room (like the one seen in the advertised photo).,complain later place much nice room like one see advertise
411,The staff didn’t even seem to care.,staff even seem care .
412,My husband and I stayed for one night and the first thing we noticed was how out dated our room was and it looked nothing like the pictures that I saw before booking the room.,husband stay one night first thing notice date room look nothing like picture see book room .
413,"The room had a weird smell to it, the furniture was old and beat up, the blinds on the windows were broken and dirty, and the water heater was awful.",room weird smell furniture old beat blind window break dirty water heater awful .
414,We would not recommend this to anyone.,would recommend anyone .
415,Awful Groupon advertised it as being newly done room was definitely not.,awful groupon advertise newly room definitely .
416,"It was dirty the wall paper was falling off, there were stains everywhere the ac was leaking and the tv was not as advertised.",dirty wall paper fall stain everywhere ac leak tv advertise .
417,So as a heads up check every review you can.,head check every review .
418,"The room was very small, stains on the chair, the door to the bathroom couldn't open all the way because of the toilet which by the way was not bolted down.",room small stain chair door bathroom could open way toilet way bolt .
419,There was a lot more other things but the hotel is trying..... Would never buy this Groupon again...............,lot thing hotel try would never buy groupon
420,I could not stay wa as there for about 15 minutes.,could stay wa minute .
421,"While the gentleman at the front desk was as accommodating as he could be, the room was disgusting.",gentleman front desk accommodate could room disgusting .
422,You could smell marijuana and must in the hallway and the room was full of black mold.,could smell marijuana must hallway room full black mold .
423,"When we tried to get a new room, they said there were no other options.",try get new room say option .
424,Room was non smoking but both in thenrooom and in hallways smelled like smoke covered up with heavy airosole heavily scented spray,room non smoking thenroom hallway smell like smoke cover heavy airosole heavily scent spray
425,Carpet is stain look like never clean.,carpet stain look like never clean .
426,Have a bad service roomboy and smell with marijuana on duty.,bad service roomboy smell marijuana duty .
427,ONLY ONE THING IS PERFECT CLOSE FOR BY TRIAN STATION JUST 3 MINS WALK BUT ALL EVERYTHING IS HORRIBLE NOT EVEN THINK TO GO TO THIS HOTEL.,one thing perfect close trian station min walk everything horrible even think go hotel .
428,Wear shoes carpet felt so dirty and moist.,wear shoe carpet feel dirty moist .
429,Staff was friendly and service was great.,staff friendly service great .
430,Don't bother wasting your money at this hotel.,bother waste money hotel .
431,First off the hotel wasn’t newly renovated like the ad said it was dirty and filthy.,first hotel newly renovate like ad say dirty filthy .
432,The chair was broken and didn’t even attempt to sit on it.,chair break even attempt sit .
433,When we tried to take a shower there was no hot water around the hours of 12pm to 11am.,try take shower hot water around hour
434,But you can’t really expect a lot from a New York hotel.,really expect lot new york hotel .
435,"The only good thing about this place was the location was so close to the 1,2 and 3 train.",good thing place location close train .
436,"The hotel was not even close to what I expected super outdated, everything looked old nothing great about it.",hotel even close expect super outdated everything look old nothing great .
437,Two hundred dollars wasted.,two hundred dollar waste .
438,"I personally had a horrible experience, service was horrible, ice machine didn’t work had to buy our own ice.",personally horrible experience service horrible ice machine work buy ice .
439,"It’s an apartment hotel, you can smell people cooking fish in the hall ways.",apartment hotel smell people cook fish hall way .
440,Dirty bed sheets,dirty bed sheet
441,Room was musty and small.,room musty small .
442,Hotel was overall dirty.,hotel overall dirty .
443,I don’t have anything good to say about this outdated hotel.,anything good say outdated hotel .
444,The pictures they display on Groupon are completely inaccurate.,picture display groupon completely inaccurate .
445,I went down to request more towels and had some female who was either off work or an employee s friend try yelling at me.,go request towel female either work employee friend try yell .
446,"Not worth it at all, spend the extra money and get a nicer hotel.",worth spend extra money get nice hotel .
447,The absolute WORST accommodations ever.,absolute bad accommodation ever .
448,Check in was slow and staff was unprofessional.,check slow staff unprofessional .
449,"The hallway to our room was so narrow, a very large person would NOT have fit through comfortably, if at all.",hallway room narrow large person would fit comfortably .
450,"Wall paper was peeling off the walls, everything was gross.",wall paper peel wall everything gross .
451,The room was really small .,room really small
452,"The bathtub was rusted, it smells in the hallway there was no refrigerator in the room",bathtub rust smell hallway refrigerator room
